股票代码|股票简称|英文名|行业编码|一级分类|二级分类|上市交易所|公司全称|上市日期|省份|城市|法人|地址|网址|邮箱|电话|主营业务|经营范围
cn_600038|西部矿业|Western Mining|B09|采矿业|有色金属矿采选业|上海证券交易所|西部矿业股份有限公司|2005-04-08|青海省|西宁市|张西部|西宁市城西区五四大街52号|www.westernmining.com|service@western.com|0971-63180038|铅锌铜矿开采及冶炼|铅、锌、铜矿开采选冶；矿产贸易
cn_600039|兖州煤业|Yanzhou Coal|B06|采矿业|煤炭开采和洗选业|上海证券交易所|兖州煤业股份有限公司|2001-11-05|山东省|济宁市|李兖州|济宁市兖州区建设路9号|www.yanzhoucoal.com|service@yanzhou.com|0537-34180039|煤炭开采及煤化工|煤炭开采、洗选；煤化工产品生产；铁路运输
cn_600040|潞安环能|Lu'an Env|B06|采矿业|煤炭开采和洗选业|上海证券交易所|潞安环保能源开发股份有限公司|2002-06-11|山西省|长治市|王潞安|长治市襄垣县侯堡镇潞安大街|www.luanenv.com|service@luan.com|0355-59280040|煤炭开采及瓦斯利用|煤炭开采；瓦斯抽采利用；焦炭生产；发电
cn_600041|阳泉煤业|Yangquan Coal|B06|采矿业|煤炭开采和洗选业|上海证券交易所|阳泉煤业（集团）股份有限公司|2003-10-20|山西省|阳泉市|赵阳泉|阳泉市矿区北大西街5号|www.yqcoal.com|service@yqcoal.com|0353-70880041|煤炭开采及洗选加工|煤炭开采、洗选、销售；煤矸石综合利用
cn_600042|大同煤业|Datong Coal|B06|采矿业|煤炭开采和洗选业|上海证券交易所|大同煤业股份有限公司|2004-07-16|山西省|大同市|张大同|大同市新平旺同煤大厦|www.datongcoal.com|service@datong.com|0352-78680042|煤炭开采及销售|煤炭开采、洗选；火力发电；建材制造
cn_600043|中煤能源|China Coal|B06|采矿业|煤炭开采和洗选业|上海证券交易所|中煤能源股份有限公司|2006-08-30|北京市|北京市|王中煤|北京市朝阳区黄寺大街1号|www.chinacoal.com|service@chinacoal.com|010-82280043|煤炭生产及煤化工|煤炭开采、洗选；煤化工；煤矿装备制造
cn_600044|中国石油|PetroChina|B07|采矿业|石油和天然气开采业|上海证券交易所|中国石油天然气股份有限公司|2000-04-07|北京市|北京市|戴中油|北京市东城区东直门北大街9号|www.petrochina.com|service@petrochina.com|010-59980044|石油天然气勘探开发|石油天然气勘探、开采、炼制；成品油销售
cn_600045|中国海油|CNOOC|B07|采矿业|石油和天然气开采业|上海证券交易所|中国海洋石油股份有限公司|2001-02-28|北京市|北京市|周中海|北京市朝阳区太阳宫南街6号|www.cnooc.com|service@cnooc.com|010-84580045|海上油气勘探开发|海上石油天然气勘探、开发、生产；LNG贸易
cn_600046|上海石化|Shanghai Petro|C25|制造业|石油、煤炭及其他燃料加工业|上海证券交易所|上海石油化工股份有限公司|2000-08-15|上海市|上海市|吴上石化|上海市金山区石化街道金一路48号|www.shpetro.com|service@shpetro.com|021-57980046|石油化工产品生产|原油加工；石化产品生产销售；化纤原料制造
cn_600047|南京化纤|Nanjing Chem|C28|制造业|化学纤维制造业|上海证券交易所|南京化纤股份有限公司|2001-03-26|江苏省|南京市|徐南京|南京市六合区化学工业园区化纤路1号|www.njchemfibre.com|service@njchem.com|025-57780047|粘胶纤维及特种纤维生产|粘胶纤维、涤纶纤维生产销售；化工产品贸易
cn_600048|吉林森工|Jilin Forestry|C20|制造业|木材加工和木、竹、藤、棕、草制品业|上海证券交易所|吉林森林工业股份有限公司|2003-12-22|吉林省|长春市|刘吉林|长春市二道区吉林大路88号|www.jilinfm.com|service@jilinfm.com|0431-84980048|人造板及林产品加工|人造板制造；林产品深加工；木制品出口
cn_600049|福建水泥|Fujian Cement|C30|制造业|非金属矿物制品业|上海证券交易所|福建水泥股份有限公司|2004-05-18|福建省|福州市|陈福建|福州市鼓楼区水泥路22号|www.fjcement.com|service@fjcement.com|0591-87880049|水泥及熟料生产销售|水泥、熟料制造销售；商品混凝土；新型建材
cn_600050|海螺水泥|Conch Cement|C30|制造业|非金属矿物制品业|上海证券交易所|安徽海螺水泥股份有限公司|2002-02-07|安徽省|芜湖市|高海螺|芜湖市镜湖区海螺大厦|www.conch.com|service@conch.com|0553-83980050|水泥及建材产品生产|水泥、熟料、骨料生产销售；环保技术开发
cn_600051|华新水泥|Huaxin Cement|C30|制造业|非金属矿物制品业|上海证券交易所|华新水泥股份有限公司|2001-09-12|湖北省|黄石市|李华新|黄石市大冶市华新路1号|www.huaxincem.com|service@huaxin.com|0714-62880051|水泥及混凝土生产|水泥、混凝土、骨料生产销售；环保处置
cn_600052|冀东水泥|Jidong Cement|C30|制造业|非金属矿物制品业|上海证券交易所|唐山冀东水泥股份有限公司|2003-11-20|河北省|唐山市|张冀东|唐山市丰润区冀东大道168号|www.jidongcem.com|service@jidong.com|0315-50180052|水泥及熟料生产|水泥、熟料制造销售；矿渣粉；预拌砂浆
cn_600053|金隅集团|BBMG|C30|制造业|非金属矿物制品业|上海证券交易所|北京金隅集团股份有限公司|2005-12-29|北京市|北京市|姜金隅|北京市东城区北三环东路36号|www.bbmg.com|service@bbmg.com|010-64480053|水泥及新型建材|水泥生产；新型建材开发；房地产开发；物业管理
cn_600054|首钢股份|Shougang Steel|C31|制造业|黑色金属冶炼和压延加工业|上海证券交易所|首钢集团股份有限公司|2000-05-10|北京市|北京市|赵首钢|北京市石景山区首钢园|www.shougang.com|service@shougang.com|010-88280054|钢铁冶炼及压延加工|钢铁冶炼、轧制；钢材销售；金属制品制造
cn_600055|鞍钢股份|Angang Steel|C31|制造业|黑色金属冶炼和压延加工业|上海证券交易所|鞍钢股份有限公司|2001-07-18|辽宁省|鞍山市|李鞍钢|鞍山市铁东区和平路8号|www.angang.com|service@angang.com|0412-67280055|钢铁生产及钢材加工|铁矿石开采；钢铁冶炼；热轧冷轧板材生产
cn_600056|武钢股份|Wugang Steel|C31|制造业|黑色金属冶炼和压延加工业|上海证券交易所|武汉钢铁股份有限公司|2002-09-26|湖北省|武汉市|刘武钢|武汉市青山区武钢大厦|www.wugang.com|service@wugang.com|027-86880056|钢铁及硅钢产品生产|钢铁冶炼；硅钢、汽车板生产；钢材贸易
cn_600057|本钢板材|Benxi Steel|C31|制造业|黑色金属冶炼和压延加工业|上海证券交易所|本钢板材股份有限公司|2003-04-15|辽宁省|本溪市|韩本钢|本溪市平山区钢铁路1号|www.benxisteel.com|service@benxi.com|0414-78380057|板材及特殊钢生产|热轧板、冷轧板、特殊钢生产销售；矿产品贸易
cn_600058|鼎信科技|Dingxin Tech|I65|信息技术|软件服务|上海证券交易所|鼎信科技股份有限公司|2005-01-15|北京市|北京市|张鼎信|北京市海淀区鼎信大厦A座|www.dingxintech.com|service@dingxin.com|010-88880058|企业级软件及IT解决方案|软件开发、系统集成、云计算服务、技术咨询
cn_600059|华瑞生物|Huarui Bio|C27|制造业|医药制造业|上海证券交易所|华瑞生物医药股份有限公司|2006-03-22|上海市|上海市|陈华瑞|上海市浦东新区张江药谷华瑞路1号|www.huarui-bio.com|service@huarui.com|021-68880059|基因工程药物及诊断试剂|生物药品研发生产、诊断试剂销售、技术转让
cn_600060|金晟新能源|Jinsheng New Energy|D44|电力、热力、燃气及水生产和供应业|电力生产|上海证券交易所|金晟新能源集团股份有限公司|2008-07-10|广东省|深圳市|刘金晟|深圳市宝安区新能源产业园金晟大厦|www.jinshengenergy.com|service@jinsheng.com|0755-82880060|太阳能及储能系统集成|光伏电站投资运营、储能系统集成、电力销售
cn_600061|宏远地产|Hongyuan Realty|K70|房地产业|房地产开发|上海证券交易所|宏远房地产集团股份有限公司|2002-09-18|浙江省|杭州市|赵宏远|杭州市西湖区宏远路88号|www.hongyuanrealty.com|service@hongyuan.com|0571-87780061|住宅及商业地产开发|房地产开发经营、物业管理、自有房屋租赁
cn_600062|恒盛矿业|Hengsheng Mining|B09|采矿业|有色金属矿采选业|上海证券交易所|恒盛矿业资源股份有限公司|2004-11-25|江西省|南昌市|周恒盛|南昌市青山湖区恒盛大道1号|www.hengshengmining.com|service@hengsheng.com|0791-88180062|铜铅锌多金属开采冶炼|有色金属开采、选冶、矿产品贸易
cn_600063|博通信息|Botong Info|I63|信息技术|电信、广播电视和卫星传输服务|上海证券交易所|博通信息科技股份有限公司|2010-04-12|四川省|成都市|吴博通|成都市高新区天府软件园博通楼|www.botonginfo.com|service@botong.com|028-85320063|卫星导航及通信系统集成|卫星导航系统开发、通信设备销售、物联网技术服务
cn_600064|瑞康医药|Ruikang Pharma|C27|制造业|医药制造业|上海证券交易所|瑞康医药集团股份有限公司|2003-06-05|山东省|济南市|孙瑞康|济南市历城区瑞康路66号|www.ruikangpharma.com|service@ruikang.com|0531-88180064|化学制剂及中药生产|药品生产销售、中药材种植加工、医药研发
cn_600065|重工机械|Zhonggong Mach|C35|制造业|专用设备制造业|上海证券交易所|重工机械装备股份有限公司|2001-12-20|辽宁省|沈阳市|李重工|沈阳市铁西区重工街99号|www.zhonggongmach.com|service@zhonggong.com|024-25880065|工程机械及矿山设备制造|挖掘机、起重机、矿山机械制造销售及维修
cn_600066|万通物流|Wantong Logistics|G58|交通运输、仓储和邮政业|邮政业|上海证券交易所|万通物流集团股份有限公司|2007-08-15|河南省|郑州市|王万通|郑州市郑东新区物流园区万通路8号|www.wantonglog.com|service@wantong.com|0371-66880066|综合物流及供应链管理|国内国际货运代理、仓储服务、供应链方案设计
cn_600067|智汇数据|Zhihui Data|I65|信息技术|软件和信息技术服务业|上海证券交易所|智汇数据科技股份有限公司|2012-02-28|陕西省|西安市|赵智汇|西安市高新区锦业路智汇大厦|www.zhihuidata.com|service@zhihui.com|029-88380067|大数据及人工智能平台|大数据分析、AI算法开发、数据可视化、IT外包
cn_600068|国盛金控|Guosheng Finance|J69|金融业|其他金融业|上海证券交易所|国盛金融控股集团股份有限公司|2005-10-18|上海市|上海市|周国盛|上海市陆家嘴环路国盛金融中心|www.guoshengfinance.com|service@guosheng.com|021-58880068|融资租赁及供应链金融|融资租赁、商业保理、资产管理、财务咨询
cn_600069|中信信托|CITIC Trust|J69|金融业|其他金融业|上海证券交易所|中信信托股份有限公司|2006-04-20|北京市|北京市|陈中信|北京市朝阳区中信大厦|www.citictrust.com|service@citictrust.com|010-65680069|信托业务及资产证券化|资金信托、动产不动产信托、资产证券化、投资银行
cn_600070|太平洋保险|Pacific Ins|J68|金融业|保险业|上海证券交易所|太平洋保险集团股份有限公司|2002-12-02|上海市|上海市|马太平洋|上海市黄浦区太平洋保险大厦|www.pacificins.com|service@pacific.com|021-68880070|人寿保险及健康险|人寿保险、健康保险、意外伤害保险、养老金业务
cn_600071|中金资本|Zhongjin Capital|J69|金融业|资本市场服务|上海证券交易所|中金资本投资股份有限公司|2009-07-22|北京市|北京市|周中金|北京市西城区中金资本中心|www.zhongjincapital.com|service@zhongjin.com|010-66080071|股权投资及产业基金|私募股权投资、创业投资、企业并购重组顾问
cn_600072|光大证券|Everbright Sec|J67|金融业|资本市场服务|上海证券交易所|光大证券股份有限公司|2004-03-15|上海市|上海市|刘光大|上海市静安区光大证券大厦|www.everbrightsec.com|service@everbright.com|021-68880072|证券经纪及资产管理|证券经纪、投资咨询、资产管理、证券承销
cn_600073|华夏保险|Huaxia Ins|J68|金融业|保险业|上海证券交易所|华夏人寿保险股份有限公司|2007-11-01|北京市|北京市|王华夏|北京市东城区华夏保险中心|www.huaxiains.com|service@huaxia.com|010-66280073|人寿保险及养老保险|人寿保险、健康保险、养老保险、资产管理
cn_600074|绿地控股|Greenland Hld|K70|房地产业|房地产开发|上海证券交易所|绿地控股集团股份有限公司|2001-05-30|上海市|上海市|张绿地|上海市黄浦区绿地大厦|www.greenlandhld.com|service@greenland.com|021-58880074|城市综合体及住宅开发|房地产开发经营、酒店管理、商业运营、建筑装饰
cn_600075|龙湖地产|Longfor Prop|K70|房地产业|房地产开发|上海证券交易所|龙湖地产集团股份有限公司|2006-08-24|重庆市|重庆市|吴龙湖|重庆市江北区龙湖花园|www.longforprop.com|service@longfor.com|023-67880075|住宅及商业地产开发|房地产开发销售、物业管理、商业地产运营
cn_600076|融创中国|Sunac China|K70|房地产业|房地产开发|上海证券交易所|融创中国控股股份有限公司|2007-12-12|天津市|天津市|孙融创|天津市南开区融创中心|www.sunacchina.com|service@sunac.com|022-88280076|住宅开发及文旅地产|房地产开发经营、文化旅游项目投资、酒店管理
cn_600077|碧桂园|Country Garden|K70|房地产业|房地产开发|上海证券交易所|碧桂园控股集团股份有限公司|2002-04-19|广东省|佛山市|杨碧桂|佛山市顺德区碧桂园大道1号|www.countrygarden.com|service@countrygarden.com|0757-26380077|住宅开发及物业管理|房地产开发销售、物业管理、建筑装饰、教育投资
cn_600078|金茂地产|Jinmao Prop|K70|房地产业|房地产开发|上海证券交易所|金茂房地产集团股份有限公司|2005-09-08|北京市|北京市|李金茂|北京市朝阳区金茂大厦|www.jinmaoprop.com|service@jinmao.com|010-65680078|高端住宅及商业写字楼开发|房地产开发、写字楼运营、酒店管理、物业管理
cn_600079|招商地产|Merchant Prop|K70|房地产业|房地产开发|上海证券交易所|招商地产开发股份有限公司|2003-07-17|广东省|深圳市|刘招商|深圳市南山区招商路88号|www.merchantprop.com|service@merchant.com|0755-26880079|园区开发及社区运营|产业园区开发、住宅商业地产、邮轮母港建设
cn_600080|保利置业|Poly Property|K70|房地产业|房地产开发|上海证券交易所|保利置业集团股份有限公司|2004-11-30|广东省|广州市|陈保利|广州市天河区保利中心|www.polyproperty.com|service@polyproperty.com|020-88880080|住宅及商业地产开发|房地产开发经营、物业租赁、建筑装修、投资管理
cn_600081|中海地产|China Overseas|K70|房地产业|房地产开发|上海证券交易所|中海地产集团股份有限公司|2006-06-16|香港特别行政区|香港|颜中海|香港中环皇后大道中88号|www.chinaoverseas.com|service@chinaoverseas.com|00852-28680081|住宅及商业地产开发|房地产开发、物业管理、酒店投资、建筑承包
cn_600082|华润置地|CR Land|K70|房地产业|房地产开发|上海证券交易所|华润置地有限公司|2007-10-25|北京市|北京市|王华润|北京市东城区华润大厦|www.crland.com|service@crland.com|010-65180082|城市综合开发及运营|房地产开发、商业运营、物业管理、养老地产
cn_600083|富力地产|R&F Property|K70|房地产业|房地产开发|上海证券交易所|富力地产集团股份有限公司|2005-02-14|广东省|广州市|张力富|广州市天河区富力中心|www.rfproperty.com|service@rf.com|020-38880083|住宅及酒店开发|房地产开发经营、酒店管理、商业地产、物业管理
cn_600084|雅居乐|Agile Property|K70|房地产业|房地产开发|上海证券交易所|雅居乐集团控股股份有限公司|2008-04-21|广东省|中山市|陈雅居|中山市三乡镇雅居乐花园|www.agileproperty.com|service@agile.com|0760-86380084|住宅及文旅地产开发|房地产开发、旅游地产、物业管理、教育产业
cn_600085|中骏地产|Zhongjun Prop|K70|房地产业|房地产开发|上海证券交易所|中骏房地产集团股份有限公司|2003-12-08|福建省|厦门市|黄中骏|厦门市思明区中骏大厦|www.zhongjunprop.com|service@zhongjun.com|0592-55880085|住宅及商业地产开发|房地产开发经营、物业管理、商业运营、投资管理
cn_600086|禹洲地产|Yuzhou Prop|K70|房地产业|房地产开发|上海证券交易所|禹洲地产股份有限公司|2006-09-13|福建省|厦门市|林禹洲|厦门市湖里区禹洲广场|www.yuzhouprop.com|service@yuzhou.com|0592-56880086|住宅开发及城市更新|房地产开发销售、城市更新改造、物业管理
cn_600087|合生创展|Hopson Dev|K70|房地产业|房地产开发|上海证券交易所|合生创展集团股份有限公司|2004-06-24|北京市|北京市|朱合生|北京市朝阳区合生汇|www.hopsonddev.com|service@hopson.com|010-59680087|高端住宅及商业地产|房地产开发经营、商业综合体运营、酒店管理
cn_600088|世茂房地产|Shimao Prop|K70|房地产业|房地产开发|上海证券交易所|世茂房地产控股集团|2007-03-01|上海市|上海市|许世茂|上海市浦东新区世茂大厦|www.shimaoprop.com|service@shimao.com|021-68880088|住宅及商业地产开发|房地产开发、酒店管理、商业运营、物业管理
cn_600089|远洋集团|Sino-Ocean|K70|房地产业|房地产开发|上海证券交易所|远洋集团控股股份有限公司|2005-08-19|北京市|北京市|李远洋|北京市海淀区远洋中心|www.sino-ocean.com|service@sino-ocean.com|010-88880089|住宅及养老地产开发|房地产开发、养老地产、物业管理、投资管理
cn_600090|中国金茂|China Jinmao|K70|房地产业|房地产开发|上海证券交易所|中国金茂控股集团股份有限公司|2002-10-30|北京市|北京市|宁金茂|北京市西城区金茂大街1号|www.chinajinmao.com|service@chinajinmao.com|010-66280090|城市运营及高端住宅|城市综合体开发、高端住宅、酒店运营、物业管理
cn_600091|中梁地产|Zhongliang Prop|K70|房地产业|房地产开发|上海证券交易所|中梁地产集团股份有限公司|2008-02-18|上海市|上海市|杨中梁|上海市静安区中梁大厦|www.zhongliangprop.com|service@zhongliang.com|021-68880091|住宅开发及物业服务|房地产开发销售、物业管理、商业运营
cn_600092|正荣地产|Zhenro Prop|K70|房地产业|房地产开发|上海证券交易所|正荣地产集团股份有限公司|2006-12-04|福建省|福州市|欧正荣|福州市台江区正荣中心|www.zhenroprop.com|service@zhenro.com|0591-87880092|住宅及商业地产开发|房地产开发经营、商业运营、物业管理、投资管理
cn_600093|融信集团|Rongxin Group|K70|房地产业|房地产开发|上海证券交易所|融信中国控股股份有限公司|2009-05-11|福建省|福州市|欧融信|福州市鼓楼区融信大厦|www.rongxingroup.com|service@rongxin.com|0591-87880093|住宅开发及城市更新|房地产开发销售、城市更新、物业管理
cn_600094|佳兆业|Kaisa Group|K70|房地产业|房地产开发|上海证券交易所|佳兆业集团控股股份有限公司|2007-09-06|广东省|深圳市|郭佳兆|深圳市福田区佳兆业中心|www.kaisagroup.com|service@kaisa.com|0755-82880094|城市更新及住宅开发|城市更新改造、住宅开发、物业管理、商业运营
cn_600095|卓越集团|Excellence Group|K70|房地产业|房地产开发|上海证券交易所|卓越置业集团股份有限公司|2004-03-25|广东省|深圳市|李卓越|深圳市南山区卓越时代广场|www.excellencegroup.com|service@excellence.com|0755-26880095|商业地产及写字楼开发|商业地产开发、写字楼运营、物业管理、酒店管理
cn_600096|星河湾|Star River|K70|房地产业|房地产开发|上海证券交易所|星河湾地产集团股份有限公司|2005-11-15|广东省|广州市|黄星河|广州市番禺区星河湾花园|www.starriver.com|service@starriver.com|020-84780096|高端住宅及园林地产|高端住宅开发、园林设计、物业管理、会所运营
cn_600097|鸿荣源|Hongrongyuan|K70|房地产业|房地产开发|上海证券交易所|鸿荣源地产集团股份有限公司|2003-07-18|广东省|深圳市|赖鸿荣|深圳市宝安区鸿荣源大厦|www.hongrongyuan.com|service@hongrongyuan.com|0755-27880097|住宅及商业综合体开发|房地产开发、商业运营、物业管理、投资管理
cn_600098|时代中国|Times China|K70|房地产业|房地产开发|上海证券交易所|时代中国控股集团股份有限公司|2006-06-21|广东省|广州市|岑时代|广州市天河区时代广场|www.timeschina.com|service@timeschina.com|020-38880098|住宅及城市更新开发|房地产开发销售、城市更新、物业管理、商业运营
cn_600099|中国奥园|China Aoyuan|K70|房地产业|房地产开发|上海证券交易所|中国奥园地产集团股份有限公司|2004-08-27|广东省|广州市|郭奥园|广州市番禺区奥园大厦|www.chinaaoyuan.com|service@aoyuan.com|020-84880099|住宅及复合地产开发|房地产开发、文旅地产、健康养生、物业管理
cn_600100|宝龙地产|Powerlong Prop|K70|房地产业|房地产开发|上海证券交易所|宝龙地产控股集团股份有限公司|2007-04-12|上海市|上海市|许宝龙|上海市闵行区宝龙城|www.powerlongprop.com|service@powerlong.com|021-64880100|商业综合体及住宅开发|商业地产开发、酒店运营、物业管理、投资管理
cn_600101|建发股份|Jianfa Group|F51|批发和零售业|批发业|上海证券交易所|建发股份集团有限公司|2001-09-19|福建省|厦门市|黄建发|厦门市思明区建发大厦|www.jianfagroup.com|service@jianfa.com|0592-55880101|大宗商品贸易及供应链服务|供应链管理、贸易代理、物流服务、投资管理
cn_600102|物产中大|Wuchan Zhongda|F51|批发和零售业|批发业|上海证券交易所|物产中大集团股份有限公司|2002-11-28|浙江省|杭州市|王物产|杭州市江干区物产大厦|www.wuchan.com|service@wuchan.com|0571-87780102|大宗商品贸易及现代物流|钢材、能源等贸易、物流配送、金融服务
cn_600103|厦门国贸|Xiamen ITG|F51|批发和零售业|批发业|上海证券交易所|厦门国贸集团股份有限公司|2003-04-07|福建省|厦门市|陈国贸|厦门市湖里区国贸大厦|www.xmitg.com|service@xmitg.com|0592-55880103|供应链管理及房地产|大宗商品贸易、房地产开发、金融服务
cn_600104|浙江东方|Zhejiang Orient|F51|批发和零售业|批发业|上海证券交易所|浙江东方集团股份有限公司|2004-06-25|浙江省|杭州市|李东方|杭州市西湖区东方大厦|www.zjorient.com|service@zjorient.com|0571-87780104|进出口贸易及电子商务|进出口贸易、跨境电商、物流仓储、投资管理
cn_600105|中国国贸|China World Trade|L72|租赁和商务服务业|商务服务业|上海证券交易所|中国国际贸易中心股份有限公司|2000-12-15|北京市|北京市|高国贸|北京市朝阳区国贸大厦|www.cwtc.com|service@cwtc.com|010-65080105|商业物业运营及酒店管理|写字楼出租、商场运营、酒店管理、会展服务
cn_600106|上海实业|Shanghai Industrial|S94|综合|综合|上海证券交易所|上海实业控股集团股份有限公司|2001-02-28|上海市|上海市|王上实|上海市黄浦区上实大厦|www.siic.com|service@siic.com|021-58880106|基础设施及消费品投资|路桥投资、水务运营、医药制造、房地产投资
cn_600107|北京控股|Beijing Enterprises|D46|电力、热力、燃气及水生产和供应业|燃气生产和供应业|上海证券交易所|北京控股集团股份有限公司|2002-06-17|北京市|北京市|田北控|北京市朝阳区北控大厦|www.behl.com|service@behl.com|010-65680107|城市燃气及水务运营|城市燃气供应、水务处理、固废处理、能源投资
cn_600108|天津港|Tianjin Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|天津港股份有限公司|2003-07-08|天津市|天津市|刘天津|天津市滨海新区天津港大厦|www.tianjinport.com|service@tianjinport.com|022-25780108|港口装卸及仓储物流|港口货物装卸、仓储、物流、船舶代理
cn_600109|青岛港|Qingdao Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|青岛港国际股份有限公司|2005-09-22|山东省|青岛市|李青岛|青岛市黄岛区青岛港区|www.qingdaoport.com|service@qingdaoport.com|0532-86880109|港口运营及物流服务|集装箱及散货装卸、仓储、物流、港口管理
cn_600110|宁波港|Ningbo Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|宁波舟山港股份有限公司|2004-12-10|浙江省|宁波市|陈宁波|宁波市鄞州区宁波港大厦|www.nbport.com|service@nbport.com|0574-87080110|港口及航运服务|港口装卸、船舶拖带、仓储物流、海铁联运
cn_600111|广州港|Guangzhou Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|广州港股份有限公司|2006-08-25|广东省|广州市|张广州|广州市黄埔区广州港中心|www.gzport.com|service@gzport.com|020-82180111|港口货物装卸及物流|集装箱及散货装卸、物流配送、报关代理
cn_600112|厦门港|Xiamen Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|厦门港务发展股份有限公司|2003-03-19|福建省|厦门市|吴厦门|厦门市海沧区厦门港区|www.xiamenport.com|service@xiamenport.com|0592-56880112|港口运营及综合物流|港口装卸、仓储、物流、国际货代
cn_600113|大连港|Dalian Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|大连港股份有限公司|2004-05-13|辽宁省|大连市|赵大连|大连市中山区大连港大厦|www.dalianport.com|service@dalianport.com|0411-82680113|港口及临港产业|港口装卸、物流、临港工业、仓储服务
cn_600114|锦州港|Jinzhou Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|锦州港股份有限公司|2005-07-04|辽宁省|锦州市|孙锦州|锦州市经济技术开发区锦州港区|www.jinzhouport.com|service@jinzhouport.com|0416-35880114|港口货物装卸及仓储|散货及液体化工品装卸、仓储、物流
cn_600115|营口港|Yingkou Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|营口港务集团股份有限公司|2003-11-20|辽宁省|营口市|王营口|营口市鲅鱼圈区营口港大厦|www.yingkouport.com|service@yingkouport.com|0417-62080115|港口物流及装卸服务|港口装卸、仓储、海运代理、铁水联运
cn_600116|连云港|Lianyungang Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|连云港港口股份有限公司|2006-04-17|江苏省|连云港市|周连云港|连云港市连云区连云港港区|www.lygport.com|service@lygport.com|0518-82380116|港口装卸及物流服务|散货及集装箱装卸、仓储、物流、报关
cn_600117|南京港|Nanjing Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|南京港股份有限公司|2002-10-09|江苏省|南京市|李南京|南京市栖霞区南京港大厦|www.njport.com|service@njport.com|025-85880117|港口及内河航运服务|港口装卸、仓储、内河运输、物流配送
cn_600118|重庆港|Chongqing Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|重庆港务物流集团股份有限公司|2005-12-12|重庆市|重庆市|张重庆|重庆市江北区重庆港大厦|www.cqport.com|service@cqport.com|023-67680118|港口物流及集装箱运输|港口装卸、集装箱运输、仓储、多式联运
cn_600119|芜湖港|Wuhu Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|芜湖港储运股份有限公司|2004-07-26|安徽省|芜湖市|刘芜湖|芜湖市鸠江区芜湖港区|www.wuhuport.com|service@wuhuport.com|0553-58580119|港口及煤炭储运|煤炭装卸、仓储、物流、港口服务
cn_600120|唐山港|Tangshan Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|唐山港集团股份有限公司|2006-09-11|河北省|唐山市|陈唐山|唐山市海港开发区唐山港大厦|www.tsport.com|service@tsport.com|0315-29180120|港口及铁矿石装卸|铁矿石及煤炭装卸、仓储、物流、港口运营
cn_600121|日照港|Rizhao Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|日照港股份有限公司|2003-05-19|山东省|日照市|杨日照|日照市东港区日照港区|www.rzport.com|service@rzport.com|0633-83880121|港口散货装卸及物流|煤炭、矿石、粮食装卸、仓储、物流
cn_600122|烟台港|Yantai Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|烟台港集团股份有限公司|2004-11-22|山东省|烟台市|王烟台|烟台市芝罘区烟台港大厦|www.ytport.com|service@ytport.com|0535-67480122|港口运营及综合物流|集装箱及散货装卸、仓储、物流、代理
cn_600123|湛江港|Zhanjiang Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|湛江港（集团）股份有限公司|2007-08-08|广东省|湛江市|许湛江|湛江市霞山区湛江港区|www.zjport.com|service@zjport.com|0759-22580123|港口及石化物流|散货及液体化工品装卸、仓储、物流
cn_600124|北部湾港|Beibu Gulf Port|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|北部湾港股份有限公司|2008-01-16|广西壮族自治区|南宁市|韦北部|南宁市青秀区北部湾大厦|www.bgport.com|service@bgport.com|0771-55880124|港口及东盟物流|集装箱装卸、仓储、物流、国际货代
cn_600125|天津海运|Tianjin Shipping|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|天津海运股份有限公司|2002-08-15|天津市|天津市|赵天津|天津市和平区天津海运大厦|www.tjshipping.com|service@tjshipping.com|022-23180125|国际航运及船舶管理|国际海上货物运输、船舶租赁、船员派遣
cn_600126|中远海发|COSCO Dev|G55|交通运输、仓储和邮政业|水上运输业|上海证券交易所|中远海运发展股份有限公司|2005-09-23|上海市|上海市|徐中远|上海市浦东新区中远大厦|www.coscodev.com|service@cosco.com|021-68880126|集装箱租赁及物流|集装箱租赁、船舶租赁、物流金融、投资管理
